timestamp,cpu_usage,ram_usage,disk_usage,docker_containers
2026-05-18T06:00:00-05:00,8.2,65.1,42.3,5
2026-05-18T06:15:00-05:00,12.4,66.0,42.3,5
2026-05-18T06:30:00-05:00,9.1,66.5,42.4,5
2026-05-18T06:45:00-05:00,11.7,67.2,42.4,5
2026-05-18T07:00:00-05:00,10.3,68.0,42.5,5
2026-05-18T07:30:00-05:00,14.8,69.1,42.6,5
2026-05-18T08:00:00-05:00,18.6,70.2,42.6,5
2026-05-18T08:12:00-05:00,82.1,72.0,42.7,5
2026-05-18T08:30:00-05:00,22.4,71.5,42.8,5
2026-05-18T09:00:00-05:00,13.2,70.8,42.9,5
2026-05-18T09:30:00-05:00,11.6,70.5,42.9,5
